IPO Date,Symbol,Company Name,IPO Price,Current,Return
12-Apr-22,GNS,Genius Group Limited,$6.00 ,$0.71 ,-88.14%
13-Apr-22,EE,"Excelerate Energy, Inc.",$24.00 ,$20.01 ,-16.63%
13-Apr-22,AFAR,Aura FAT Projects Acquisition Corp,$10.00 ,$10.60 ,6.00%
14-Apr-22,STSS,"Sharps Technology, Inc.",$4.25 ,$0.84 ,-80.24%
20-Apr-22,YOTA,Yotta Acquisition Corporation,$10.00 ,$10.42 ,4.22%
22-Apr-22,JCSE,JE Cleantech Holdings Limited,$4.00 ,$0.52 ,-87.02%
22-Apr-22,ACON,"Aclarion, Inc.",$4.35 ,$0.93 ,-78.62%
26-Apr-22,AIMAU,Aimfinity Investment Corp. I,$10.00 ,$10.29 ,2.90%
27-Apr-22,OST,"Ostin Technology Group Co., Ltd.",$4.00 ,$0.99 ,-75.25%
27-Apr-22,TNON,"Tenon Medical, Inc.",$5.00 ,$0.32 ,-93.65%
28-Apr-22,CHEA,Chenghe Acquisition Co.,$10.00 ,$10.65 ,6.50%
28-Apr-22,CLRC,ClimateRock,$10.00 ,$10.64 ,6.40%
29-Apr-22,HLVX,"HilleVax, Inc.",$17.00 ,$16.54 ,-2.71%
29-Apr-22,BLTE,"Belite Bio, Inc",$6.00 ,$11.18 ,86.33%
3-May-22,ASCB,A SPAC II Acquisition Corporation,$10.00 ,$10.53 ,5.30%
4-May-22,AUST,Austin Gold Corp.,$4.00 ,$0.87 ,-78.25%
5-May-22,EDBL,Edible Garden AG Incorporated,$5.00 ,$1.35 ,-73.00%
6-May-22,BLCO,Bausch + Lomb Corporation,$18.00 ,$19.34 ,7.44%
6-May-22,RENE,Cartesian Growth Corporation II,$10.00 ,$10.73 ,7.30%
6-May-22,PEPG,PepGen Inc.,$12.00 ,$10.07 ,-16.08%
